,type
3349,['nocturnal flight call']
3350,['nocturnal flight call']
3351,"['life stage uncertain', 'nocturnal flight call', 'sex uncertain']"
3352,['nocturnal flight call']
3353,['flight call']
3354,['call']
3355,"['adult', 'flight call', 'sex uncertain']"
3356,['']
3357,['']
3358,['']
3359,['']
3360,['']
3361,['']
3362,['']
3363,['']
3364,['']
3365,['']
3366,['']
3367,['']
3368,['']
3369,['']
3370,['']
3371,['']
3372,['']
3373,['']
3374,['']
3375,['']
3376,['']
3377,['']
3378,"['call', 'flight call', 'song']"
3379,['begging call']
3380,['alarm call']
3381,['call']
3382,['call']
3383,['call']
3384,['song']
3385,['call']
3386,['song']
3387,['call']
3388,['']
3389,['']
3390,['']
3391,['call']
3392,['call']
3393,['call']
3394,['call']
3395,['song']
3396,"['adult', 'call', 'female', 'male', 'song']"
3397,"['call', 'song']"
3398,['song']
3399,"['call', 'song']"
3400,['song']
3401,['song']
3402,"['adult', 'sex uncertain', 'song']"
3403,"['female', 'male', 'song']"
3404,"['adult', 'female', 'male', 'song']"
3405,['call']
3406,['song']
3407,['call']
3408,['song']
3409,['call']
3410,"['call', 'female']"
3411,"['call', 'female', 'male']"
3412,"['call', 'female', 'male']"
3413,"['call', 'female', 'male']"
3414,"['call', 'male']"
3415,['song']
3416,"['male', 'song']"
3417,['song']
3418,['call']
3419,['call']
3420,"['call', 'song']"
3421,['song']
3422,['call']
3423,['call']
3424,['song']
3425,"['call', 'female', 'male', 'song']"
3426,['song']
3427,['call']
3428,['call']
3429,"['call', 'song']"
3430,"['male', 'song']"
3431,['song']
3432,['call']
3433,['song']
3434,['song']
3435,"['call', 'song']"
3436,['song']
3437,['call']
3438,['call']
3439,['call']
3440,['song']
3441,"['begging call', 'juvenile']"
3442,['song']
3443,['song']
3444,['call']
3445,['song']
3446,['song']
3447,['call']
3448,['song']
3449,['song']
3450,['call']
3451,['call']
3452,"['call', 'song']"
3453,['song']
3454,['song']
3455,"['adult', 'alarm call', 'bird in hand', 'sex uncertain']"
3456,['song']
3457,"['adult', 'call', 'male', 'sex uncertain']"
3458,"['adult', 'male', 'song']"
3459,"['adult', 'call', 'male']"
3460,"['adult', 'call', 'female', 'juvenile', 'male']"
3461,['call']
3462,['call']
3463,"['adult', 'call', 'male']"
3464,"['adult', 'song']"
3465,"['call', 'wing flapping']"
3466,['call']
3467,"['adult', 'call']"
3468,"['adult', 'female', 'male', 'song']"
3469,"['call', 'song']"
3470,"['adult', 'call', 'male', 'song']"
3471,"['adult', 'sex uncertain', 'song']"
3472,['call']
3473,['call']
3474,"['adult', 'sex uncertain', 'song']"
3475,"['adult', 'male', 'song']"
3476,"['male', 'subsong']"
3477,['song']
3478,"['Vervet Monkey', 'adult', 'alarm call', 'female', 'male']"
3479,['']
3480,['']
3481,['']
3482,['']
3483,['']
3484,['song']
3485,['song']
3486,['song']
3487,['song']
3488,['song']
3489,['song']
3490,['song']
3491,['song']
3492,['song']
3493,['song']
3494,['call']
3495,"['female', 'male', 'song']"
3496,"['female', 'male', 'song']"
3497,['song']
3498,['song']
3499,['song']
3500,['call']
3501,['song']
3502,['song']
3503,['song']
3504,['call']
3505,['']
3506,['']
3507,['']
3508,['']
3509,['']
3510,['']
3511,['song']
3512,['call']
3513,"['female', 'male', 'song']"
3514,['song']
3515,"['duet', 'song']"
3516,['alarm call']
3517,['song']
3518,['song']
3519,"['call', 'duet', 'song']"
3520,['song']
3521,"['duet', 'song']"
3522,['song']
3523,"['call', 'duet', 'female', 'male', 'song']"
3524,"['duet', 'song']"
3525,"['call', 'duet', 'song']"
3526,"['duet', 'song']"
3527,"['call', 'duet', 'song']"
3528,['call']
3529,"['call', 'flight call']"
3530,['call']
3531,['song']
3532,['song']
3533,['song']
3534,['song']
3535,['song']
3536,['song']
3537,['']
3538,['']
3539,['']
3540,['song']
3541,['song']
3542,['song']
3543,['call']
3544,['song']
3545,['song']
3546,['song']
3547,['alarm call']
3548,['call']
3549,['song']
3550,['song']
3551,['song']
3552,['song']
3553,['song']
3554,"['call', 'song']"
3555,['song']
3556,"['male', 'song']"
3557,['song']
3558,['call']
3559,['song']
3560,['song']
3561,['song']
3562,['song']
3563,['call']
3564,['call']
3565,['call']
3566,['call']
3567,['song']
3568,['song']
3569,['song']
3570,['song']
3571,['song']
3572,['song']
3573,['song']
3574,['song']
3575,['song']
3576,['song']
3577,['song']
3578,['song']
3579,['song']
3580,['song']
3581,['song']
3582,['song']
3583,['call']
3584,['song']
3585,['song']
3586,['song']
3587,['song']
3588,['call']
3589,['song']
3590,['call']
3591,['song']
3592,['song']
3593,['song']
3594,['call']
3595,['song']
3596,['song']
3597,['song']
3598,['song']
3599,['song']
3600,['song']
3601,['song']
3602,['song']
3603,['song']
3604,['song']
3605,['song']
3606,['song']
3607,['song']
3608,['song']
3609,['call']
3610,['call']
3611,['song']
3612,['song']
3613,['call']
3614,['call']
3615,['call']
3616,['song']
3617,['call']
3618,['song']
3619,['call']
3620,['song']
3621,['song']
3622,['call']
3623,['call']
3624,['call']
3625,['call']
3626,['call']
3627,['call']
3628,"['adult', 'sex uncertain', 'song']"
3629,['song']
3630,['song']
3631,['song']
3632,['song']
3633,"['adult', 'sex uncertain', 'song']"
3634,"['adult', 'sex uncertain', 'song']"
3635,"['adult', 'sex uncertain', 'song']"
3636,"['adult', 'sex uncertain', 'song']"
3637,"['adult', 'sex uncertain', 'song']"
3638,"['adult', 'call', 'sex uncertain', 'song']"
3639,"['adult', 'call', 'sex uncertain']"
3640,"['adult', 'sex uncertain', 'song']"
3641,"['adult', 'sex uncertain', 'song']"
3642,['']
3643,['']
3644,['']
3645,['']
3646,['']
3647,['']
3648,['']
3649,['']
3650,['']
3651,['']
3652,['']
3653,['call']
3654,['flight call']
3655,"['flight call', 'song']"
3656,['flight call']
3657,"['flight call', 'male', 'song']"
3658,"['alarm call', 'flight call']"
3659,['flight call']
3660,"['call', 'song']"
3661,['call']
3662,['flight call']
3663,"['begging call', 'call', 'juvenile']"
3664,"['alarm call', 'flight call']"
3665,"['alarm call', 'call']"
3666,"['begging call', 'call']"
3667,['flight call']
3668,['call']
3669,['call']
3670,['alarm call']
3671,['flight call']
3672,['alarm call']
3673,['begging call']
3674,['song']
3675,"['begging call', 'female', 'juvenile', 'male']"
3676,"['excitemente call,call in flight']"
3677,"['call in flight,song flight']"
3678,['call in flight']
3679,['flight call']
3680,['flight call']
3681,['flight call']
3682,['flight call']
3683,['call']
3684,['call']
3685,['call']
3686,['call']
3687,"['call', 'flight call', 'song']"
3688,"['call', 'flight call']"
3689,"['call', 'flight call', 'song']"
3690,"['Aggression between the juveniles', 'begging call', 'call']"
3691,"['female', 'flight call', 'juvenile', 'male']"
3692,['flight call']
3693,['flight call']
3694,['call']
3695,['flight call']
3696,['flight call']
3697,"['call', 'juvenile']"
3698,"['call', 'juvenile']"
3699,['call']
3700,"['begging call', 'call', 'female', 'flight call', 'male']"
3701,"['begging call', 'call', 'female', 'flight call', 'male']"
3702,['flight call']
3703,['flight call']
3704,"['call', 'song']"
3705,['call']
3706,['flight call']
3707,['flight call']
3708,"['alarm call', 'begging call', 'call', 'female', 'flight call', 'juvenile', 'male']"
3709,"['alarm call', 'begging call', 'call', 'female', 'flight call', 'juvenile', 'male', 'song']"
3710,"['alarm call', 'begging call', 'call', 'female', 'flight call', 'juvenile', 'male', 'song']"
3711,['flight call']
3712,['call']
3713,"['alarm call', 'call', 'flight call']"
3714,"['call', 'juvenile', 'song']"
3715,['call']
3716,['call']
3717,"['call', 'flight call']"
3718,['flight call']
3719,"['call', 'flight call']"
3720,['flight call']
3721,"['male', 'song']"
3722,['call']
3723,"['female', 'male', 'song']"
3724,['call']
3725,['call']
3726,['call']
3727,['call']
3728,['call']
3729,"['flight calls', 'nest chatter']"
3730,['call']
3731,['flight call']
3732,['begging call']
3733,['flight call']
3734,['flight call']
3735,['flight call']
3736,"['call', 'flight call']"
3737,"['alarm call', 'flight call']"
3738,['call']
3739,['call']
3740,"['begging call', 'call']"
3741,"['begging call', 'call']"
3742,"['begging call', 'call']"
3743,"['alarm call', 'call']"
3744,['flight call']
3745,['song']
3746,['alarm call']
3747,"['call', 'flight call']"
3748,"['call', 'flight call']"
3749,"['call', 'flight call']"
3750,['call']
3751,['flight call']
3752,['song']
3753,['song']
3754,['flight call']
3755,['flight call']
3756,['flight call']
3757,"['alarm call', 'call', 'calls from the nest', 'flight call', 'song']"
3758,"['city sounds', 'flight call']"
3759,['song']
3760,"['flight call', 'song']"
3761,"['call', 'female', 'flight call', 'male', 'song']"
3762,['flight call']
3763,['flight call']
3764,['flight call']
3765,"['call', 'female', 'flight call', 'male', 'song']"
3766,['song']
3767,['flight call']
3768,"['begging call', 'call', 'calls from the nest', 'juvenile']"
3769,"['begging call', 'call', 'calls from the nest', 'juvenile']"
3770,['call']
3771,['flight call']
3772,"['begging call', 'flight call']"
3773,['flight call']
3774,"['begging call', 'juvenile']"
3775,['call']
3776,['song']
3777,['flight call']
3778,['call']
3779,"['call', 'female', 'flight call', 'male', 'song']"
3780,"['call', 'song']"
3781,['call']
3782,['flight call']
3783,"['call', 'flight call']"
3784,"['call', 'flight call']"
3785,"['call', 'flight call']"
3786,"['call', 'flight call']"
3787,['call']
3788,"['call', 'female', 'flight call', 'juvenile', 'male']"
3789,['song']
3790,"['flight call', 'nocturnal flightcall']"
3791,"['begging call', 'call']"
3792,['flight call']
3793,"['male', 'song']"
3794,['call']
3795,['aberrant calls of a flock foraging in a pine tree']
3796,['flight call']
3797,"['call', 'colony', 'flight call']"
3798,"['call', 'flight call']"
3799,['call']
3800,"['flight call', 'song']"
3801,['flight call']
3802,"['call', 'flight call']"
3803,"['flight call', 'song']"
3804,['flight call']
3805,['flight call']
3806,['flight call']
3807,['flight call']
3808,['flight call']
3809,['flight call']
3810,['flight call']
3811,['flight call']
3812,['flight call']
3813,"['alarm call', 'flight call']"
3814,"['flight call', 'song']"
3815,"['call', 'flight call']"
3816,"['call', 'flight call', 'song']"
3817,['flight call']
3818,['call']
3819,"['call', 'nestlings calls in the nest']"
3820,['call']
3821,"['call', 'flight call']"
3822,"['begging call', 'juvenile']"
3823,"['call', 'flight call', 'song']"
3824,['flight call']
3825,['call']
3826,['call']
3827,['call']
3828,['flight call']
3829,"['call', 'flight call']"
3830,"['call', 'flight call']"
3831,['flight call']
3832,['flight call']
3833,['call']
3834,['flight call']
3835,['flight call']
3836,['flight call']
3837,"['begging call', 'call']"
3838,"['call', 'song']"
3839,['call']
3840,['flight call']
3841,['flight call']
3842,['flight call']
3843,['flight call']
3844,"['adult', 'flight call', 'sex uncertain']"
3845,['flight call']
3846,['flight call']
3847,['flight call']
3848,['flight call']
3849,"['adult', 'flight call']"
3850,['flight call']
3851,['flight call']
3852,['flight call']
3853,['flight call']
3854,"['adult', 'begging call', 'call', 'hatchling or nestling']"
3855,"['adult', 'begging call', 'call', 'hatchling or nestling']"
3856,['flight call']
3857,['flight call']
3858,['flight call']
3859,['flight call']
3860,['flight call']
3861,"['""tjirr""', 'flight call', 'trill']"
3862,['flight call']
3863,['flight call']
3864,['flight call']
3865,['flight call']
3866,['flight call']
3867,['flight call']
3868,['flight call']
3869,['call']
3870,"['call', 'flight call']"
3871,"['alarm call', 'call']"
3872,['flight call']
3873,['flight call']
3874,['flight call']
3875,"['begging call', 'call', 'flight call']"
3876,"['adult', 'call', 'flight call', 'sex uncertain']"
3877,"['adult', 'flight call', 'sex uncertain', 'song']"
3878,['song']
3879,"['adult', 'flight call', 'sex uncertain', 'song']"
3880,['call']
3881,"['call', 'flight call', 'life stage uncertain', 'sex uncertain', 'song']"
3882,"['call', 'hatchling or nestling']"
3883,"['call', 'hatchling or nestling', 'sex uncertain']"
3884,"['call', 'hatchling or nestling', 'sex uncertain']"
3885,"['adult', 'begging call', 'call', 'hatchling or nestling', 'song']"
3886,"['adult', 'call', 'flight call', 'song']"
3887,"['adult', 'call', 'flight call', 'song']"
3888,"['adult', 'call', 'flight call']"
3889,['flight call']
3890,"['call', 'juvenile', 'sex uncertain']"
3891,['call']
3892,['nocturnal flight call']
3893,"['adult', 'begging call', 'call', 'flight call', 'hatchling or nestling', 'juvenile']"
3894,"['call', 'flight call']"
3895,['call']
3896,"['call', 'flight call']"
3897,['flight call']
3898,"['life stage uncertain', 'nocturnal flight call', 'sex uncertain']"
3899,"['call', 'life stage uncertain', 'sex uncertain']"
3900,"['call', 'life stage uncertain', 'sex uncertain']"
3901,['call']
3902,"['adult', 'sex uncertain', 'song']"
3903,"['flight call', 'juvenile', 'sex uncertain']"
3904,"['adult', 'call', 'female', 'flight call', 'juvenile', 'male', 'song']"
3905,"['adult', 'call', 'flight call']"
3906,['flight call']
3907,"['flight call', 'nocturnal flight call']"
3908,"['flight call', 'life stage uncertain', 'sex uncertain']"
3909,"['call', 'flight call', 'nocturnal flight call']"
3910,['flight call']
3911,"['adult', 'call', 'juvenile']"
3912,['call']
3913,"['adult', 'flight call']"
3914,"['flight call', 'life stage uncertain', 'sex uncertain']"
3915,"['alarm call', 'flight call']"
3916,['flight call']
3917,['flight call']
3918,['flight call']
3919,['nocturnal flight call']
3920,"['adult', 'call', 'flight call', 'sex uncertain']"
3921,"['adult', 'call', 'flight call', 'sex uncertain']"
3922,"['adult', 'call', 'flight call', 'sex uncertain', 'song']"
3923,"['adult', 'call', 'flight call', 'sex uncertain', 'song']"
3924,['flight call']
3925,['flight call']
3926,"['call', 'song']"
3927,"['adult', 'flight call']"
3928,"['call', 'flight call']"
3929,['flight call']
3930,['flight call']
3931,"['adult', 'call', 'sex uncertain']"
3932,['call']
3933,"['adult', 'call', 'song']"
3934,['call']
3935,"['alarm call', 'call', 'female', 'male', 'song']"
3936,"['alarm call', 'call', 'female', 'male', 'song']"
3937,"['alarm call', 'call', 'female', 'male', 'song']"
3938,['call']
3939,"['flight call', 'nocturnal flight call']"
3940,"['alarm call', 'flight call', 'life stage uncertain', 'sex uncertain']"
3941,"['flight call', 'nocturnal flight call']"
3942,"['anthropogenic', 'call', 'flight call', 'wood pigeon']"
3943,"['anthropogenic', 'flight call']"
3944,"['begging call', 'call', 'juvenile']"
3945,['flight call']
3946,['flight call']
3947,"['call', 'flight call']"
3948,"['call', 'flight call']"
3949,['flight call']
3950,['flight call']
3951,['flight call']
3952,['flight call']
3953,"['begging call', 'call', 'flight call']"
3954,"['flight call', 'life stage uncertain', 'sex uncertain']"
3955,['flight call']
3956,"['call', 'life stage uncertain', 'sex uncertain']"
3957,['call']
3958,"['call', 'flight call']"
3959,['flight call']
3960,"['call', 'flight call', 'life stage uncertain', 'sex uncertain']"
3961,"['life stage uncertain', 'nocturnal flight call', 'sex uncertain']"
3962,"['life stage uncertain', 'nocturnal flight call', 'sex uncertain']"
3963,"['call', 'flight call']"
3964,"['flight call', 'life stage uncertain', 'sex uncertain']"
3965,"['flight call', 'life stage uncertain', 'sex uncertain']"
3966,"['flight call', 'wing sound']"
3967,['flight call']
3968,"['alarm call', 'flight call']"
3969,['nocturnal flight call']
3970,"['life stage uncertain', 'nocturnal flight call', 'sex uncertain']"
3971,"['adult', 'alarm call', 'begging call', 'hatchling or nestling']"
3972,"['call', 'flight call']"
3973,"['call', 'flight call', 'wing sound']"
3974,"['call', 'flight call', 'various calls']"
3975,"['call', 'flight call', 'various calls']"
3976,"['alarm call', 'call', 'descending call', 'flight call']"
3977,['flight call']
3978,['nocturnal flight call']
3979,"['alarm call', 'flight call', 'series of calls']"
3980,"['alarm call', 'flight call', 'series of calls']"
3981,"['alarm call', 'nocturnal flight call']"
3982,['flight call']
3983,['call']
3984,['song']
3985,"['call', 'flight call']"
3986,"['call', 'flight call']"
3987,"['call', 'flight call']"
3988,"['call', 'flight call']"
3989,"['call', 'flight call']"
3990,"['call', 'flight call']"
3991,['song']
3992,"['call', 'flight call']"
3993,"['call', 'flight call']"
3994,"['call', 'flight call']"
3995,['song']
3996,"['call', 'flight call']"
3997,['']
3998,['']
3999,['']
4000,['']
4001,['']
4002,['']
4003,['']
4004,['']
4005,['']
4006,['']
4007,['']
4008,['']
4009,['']
4010,['']
4011,['']
4012,['']
4013,['']
4014,['']
4015,['']
4016,['']
4017,['']
4018,['']
4019,['']
4020,['']
4021,['']
4022,['']
4023,['']
4024,['']
4025,['']
4026,['']
4027,['']
4028,['']
4029,['']
4030,['']
4031,['']
4032,['']
4033,['']
4034,['']
4035,['']
4036,['']
4037,['']
4038,['']
4039,['']
4040,['']
4041,['']
4042,['']
4043,['']
4044,['']
4045,['']
4046,['']
4047,['']
4048,['']
4049,['']
4050,['']
4051,['']
4052,['']
4053,['']
4054,['']
4055,['']
4056,['']
4057,['']
4058,['']
4059,['']
4060,['']
4061,['']
4062,['']
4063,['']
4064,['']
4065,['']
4066,['']
4067,['']
4068,['']
4069,['']
4070,['']
4071,['']
4072,['']
4073,['']
4074,['']
4075,['']
4076,['']
4077,['']
4078,['call']
4079,"['begging call', 'juvenile', 'male']"
4080,['song']
4081,['call']
4082,['call']
4083,"['call', 'female', 'flight call', 'male']"
4084,['song']
4085,['call']
4086,['song']
4087,"['call', 'female']"
4088,['call']
4089,['song']
4090,"['female', 'male', 'song']"
4091,"['call', 'flight call']"
4092,['call']
4093,"['call', 'song']"
4094,"['call', 'song']"
4095,['call']
4096,['call']
4097,['call']
4098,['call']
4099,['alarm call']
4100,['call']
4101,['call']
4102,"['call', 'female']"
4103,['call']
4104,['call']
4105,"['alarm call', 'call', 'flight call']"
4106,['call']
4107,['call']
4108,['song']
4109,['alarm call']
4110,"['call', 'male']"
4111,"['male', 'song']"
4112,"['begging call', 'juvenile']"
4113,['call']
4114,['call']
4115,['call']
4116,['call']
4117,['call']
4118,['song']
4119,['song']
4120,['call']
4121,['song']
4122,['call']
4123,['call']
4124,"['female', 'flight call']"
4125,['call']
4126,['call']
4127,"['call', 'song']"
4128,['call']
4129,"['call', 'flight call']"
4130,['song']
4131,['song']
4132,['call']
4133,['call']
4134,['call']
4135,['call']
4136,"['call', 'female']"
4137,['call']
4138,['alarm call']
4139,['song']
4140,['call']
4141,['male']
4142,['song']
4143,['song']
4144,['call']
4145,"['call', 'song']"
4146,['call']
4147,['call']
4148,"['adult', 'call', 'sex uncertain']"
4149,['call']
4150,['call']
4151,['call']
4152,['song']
4153,['call']
4154,['call']
4155,['call']
4156,['call']
4157,['call']
4158,['song']
4159,['song']
4160,['call']
4161,['call']
4162,['song']
4163,['song']
4164,['call']
4165,['song']
4166,['call']
4167,['song']
4168,['call']
4169,"['call', 'song']"
4170,['call']
4171,['call']
4172,['song']
4173,['song']
4174,['song']
4175,['song']
4176,['song']
4177,['song']
4178,['song']
4179,['song']
4180,['song']
4181,['song']
4182,['song']
4183,['song']
4184,['call']
4185,['song']
4186,['song']
4187,['song']
4188,['song']
4189,['song']
4190,['song']
4191,['song']
4192,['call']
4193,['call']
4194,['song']
4195,['song']
4196,['song']
4197,['song']
4198,['song']
4199,['song']
4200,['song']
4201,['song']
4202,['call']
4203,['call']
4204,['call']
4205,"['adult', 'male', 'song']"
4206,['call']
4207,"['male', 'song']"
4208,"['adult', 'call', 'male']"
4209,['call']
4210,['song']
4211,['song']
4212,"['female', 'song']"
4213,"['female', 'song']"
4214,"['call', 'sex uncertain']"
4215,['uncertain']
4216,['call']
4217,"['call', 'life stage uncertain', 'sex uncertain']"
4218,"['call', 'life stage uncertain', 'sex uncertain']"
4219,"['adult', 'call']"
4220,['call']
4221,"['adult', 'call', 'sex uncertain']"
4222,"['adult', 'call', 'sex uncertain']"
4223,['song']
4224,['call']
4225,['song']
4226,['song']
4227,['call']
4228,['call']
4229,['song']
4230,['song']
4231,['song']
4232,['song']
4233,['song']
4234,['song']
4235,['call']
4236,['call']
4237,"['alarm call', 'call']"
4238,"['adult', 'call', 'male']"
4239,"['adult', 'call', 'male', 'sex uncertain']"
4240,"['adult', 'alarm call', 'male']"
4241,['alarm call']
4242,"['adult', 'male', 'song']"
4243,"['call', 'male']"
4244,"['adult', 'call', 'sex uncertain']"
4245,['call']
4246,"['alarm call', 'male']"
4247,"['adult', 'male', 'song']"
4248,"['adult', 'alarm call', 'male']"
4249,"['adult', 'male', 'song']"
4250,['']
4251,['']
4252,['']
4253,['']
4254,['']
4255,['']
4256,['']
4257,['']
4258,['']
4259,['song']
4260,['song']
4261,"['alarm call', 'call']"
4262,"['call', 'song']"
4263,['call']
4264,['song']
4265,"['call', 'song']"
4266,"['call', 'song']"
4267,"['call', 'song']"
4268,['song']
4269,['song']
4270,['song']
4271,['song']
4272,['song']
4273,['song']
4274,['song']
4275,['song']
4276,['song']
4277,"['call', 'song']"
4278,['song']
4279,['song']
4280,['Song']
4281,['Song']
4282,['Song']
4283,['alarm call']
4284,['Song']
4285,['alarm call']
4286,"['call', 'song']"
4287,"['call', 'song']"
4288,"['call', 'song']"
4289,['call']
4290,['song']
4291,['call']
4292,['song']
4293,['song']
4294,"['call', 'female', 'male', 'song']"
4295,['song']
4296,['call']
4297,['song']
4298,['song']
4299,['song']
4300,"['call', 'song']"
4301,['song']
4302,['song']
4303,['call']
4304,['song']
4305,['song']
4306,['song']
4307,['song']
4308,['call']
4309,['call']
4310,['song']
4311,['call']
4312,['song']
4313,['call']
4314,['song']
4315,['song']
4316,['song']
4317,['call']
4318,['call']
4319,['call']
4320,['song']
4321,['song']
4322,['call']
4323,['call']
4324,['song']
4325,['call']
4326,['song']
4327,['call']
4328,['call']
4329,['song']
4330,"['call', 'song']"
4331,['call']
4332,"['call', 'song']"
4333,['alarm call']
4334,['song']
4335,['Song']
4336,['song']
4337,['song']
4338,['song']
4339,['song']
4340,['song']
4341,"['call', 'song']"
4342,['call']
4343,['song']
4344,['song']
4345,"['call', 'song']"
4346,['alarm call']
4347,['alarm call']
4348,['song']
4349,"['song', 'subsong']"
4350,['song']
4351,"['song', 'subsong']"
4352,['song']
4353,['song']
4354,['call']
4355,['alarm call']
4356,['song']
4357,"['call', 'song']"
4358,"['call', 'song']"
4359,"['alarm call', 'call']"
4360,['alarm call']
4361,['song']
4362,['song']
4363,['call']
4364,['call']
4365,['song']
4366,"['call', 'song']"
4367,['call']
4368,['call']
4369,['call']
4370,['call']
4371,['song']
4372,['song']
4373,"['call', 'song']"
4374,['call']
4375,"['call', 'song']"
4376,['song']
4377,['song']
4378,['song']
4379,['song']
4380,['song']
4381,['song']
4382,"['call', 'song']"
4383,['call']
4384,['song']
4385,['call']
4386,['song']
4387,['call']
4388,['song']
4389,['song']
4390,['song']
4391,['song']
4392,['song']
4393,['call']
4394,['song']
4395,['song']
4396,['call']
4397,"['alarm call', 'female', 'male']"
4398,"['alarm call', 'male', 'song']"
4399,"['alarm call', 'female', 'male', 'song']"
4400,"['alarm call', 'flight call']"
4401,['alarm call']
4402,"['male', 'song']"
4403,['flight call']
4404,['call']
4405,"['call', 'song']"
4406,['song']
4407,['song']
4408,['song']
4409,['song']
4410,['song']
4411,['song']
4412,['call']
4413,['call']
4414,['song']
4415,['song']
4416,"['call', 'song']"
4417,['song']
4418,['song']
4419,['song']
4420,['song']
4421,"['call', 'song']"
4422,"['call', 'song']"
4423,['song']
4424,['song']
4425,['song']
4426,['song']
4427,['song']
4428,['call']
4429,['flight call']
4430,['call']
4431,['song']
4432,"['call', 'feeding call']"
4433,['call']
4434,['song']
4435,['song']
4436,['call']
4437,['song']
4438,['song']
4439,['song']
4440,['song']
4441,['song']
4442,['song']
4443,"['alarm call', 'call', 'song']"
4444,['song']
4445,['song']
4446,['song']
4447,['call']
4448,['call']
4449,['call']
4450,['song']
4451,['call']
4452,['song']
4453,['song']
4454,"['call', 'song']"
4455,"['call', 'song']"
4456,['song']
4457,['song']
4458,['song']
4459,['song']
4460,['song']
4461,['song']
4462,['song']
4463,['song']
4464,['song']
4465,['song']
4466,['song']
4467,['song']
4468,['song']
4469,['song']
4470,['song']
4471,['song']
4472,['song']
4473,['song']
4474,['song']
4475,['song']
4476,['song']
4477,['song']
4478,['song']
4479,['song']
4480,['song']
4481,['call']
4482,['song']
4483,['alarm call']
4484,"['call', 'song']"
4485,['call']
4486,['call']
4487,['song']
4488,['song']
4489,['song']
4490,['song']
4491,['song']
4492,"['call', 'song']"
4493,"['call', 'song']"
4494,['call']
4495,['song']
4496,['call']
4497,"['adult', 'song']"
4498,"['adult', 'song']"
4499,"['adult', 'sex uncertain', 'song']"
4500,"['call', 'song']"
4501,"['adult', 'male', 'song']"
4502,['call']
4503,"['adult', 'male', 'song']"
4504,['call']
4505,"['adult', 'male', 'song']"
4506,"['adult', 'male', 'song']"
4507,"['adult', 'male', 'song']"
4508,"['domestic goat', 'domestic hen', 'song']"
4509,['song']
4510,"['adult', 'sex uncertain', 'song']"
4511,['song']
4512,['song']
4513,['song']
4514,['call']
4515,"['alarm call', 'song']"
4516,['song']
4517,"['adult', 'call', 'song']"
4518,"['adult', 'song']"
4519,"['adult', 'call', 'song']"
4520,"['adult', 'call', 'sex uncertain', 'song']"
4521,['call']
4522,['song']
4523,"['call', 'juvenile', 'sex uncertain']"
4524,"['adult', 'sex uncertain', 'song']"
4525,['call']
4526,"['alarm call', 'call']"
4527,"['adult', 'sex uncertain', 'song']"
4528,"['adult', 'alarm call', 'sex uncertain']"
4529,"['adult', 'sex uncertain']"
4530,"['adult', 'dawn song', 'sex uncertain']"
4531,"['adult', 'call', 'male', 'sex uncertain']"
4532,['uncertain']
4533,"['adult', 'male', 'song']"
4534,['']
4535,['']
4536,['']
4537,['']
4538,['']
4539,['']
4540,['']
4541,['']
4542,['']
4543,['']
4544,['']
4545,['']
4546,['']
4547,['']
4548,['']
4549,['']
4550,['']
4551,['']
4552,"['begging call', 'juvenile']"
4553,"['begging call', 'juvenile']"
4554,"['alarm call', 'flight call', 'male']"
4555,['call']
4556,"['call', 'flight call']"
4557,['call']
4558,"['alarm call', 'flight call', 'male']"
4559,['call']
4560,['begging call']
4561,['flight call']
4562,['call']
4563,['flight call']
4564,['call']
4565,"['call', 'juvenile']"
4566,"['call', 'juvenile']"
4567,"['call', 'female', 'juvenile']"
4568,"['call', 'female']"
4569,['flight call']
4570,['flight call']
4571,['call']
4572,"['begging call', 'call']"
4573,['call']
4574,"['call', 'male']"
4575,"['call', 'male']"
4576,['begging call']
4577,['flight call']
4578,['call']
4579,['call']
4580,['call']
4581,['alarm call']
4582,['call']
4583,['call']
4584,"['call', 'quiet dissatisfied']"
4585,"['begging call', 'flight call', 'juvenile']"
4586,"['alarm call', 'female', 'flight call']"
4587,"['alarm call', 'female', 'juvenile']"
4588,"['alarm call', 'female']"
4589,"['alarm call', 'female']"
4590,"['alarm call', 'female', 'juvenile', 'male']"
4591,"['alarm call', 'female', 'juvenile', 'male']"
4592,"['alarm call', 'flight call']"
4593,"['flight call', 'juvenile']"
4594,['flight call']
4595,"['flight call', 'juvenile']"
4596,"['flight call', 'juvenile']"
4597,"['alarm call', 'alarm call-female']"
4598,"['', 'begging call', 'juvenile']"
4599,"['', 'begging call', 'juvenile']"
4600,"['call', 'female', 'male']"
4601,['flight call']
4602,"['flight call', 'juvenile']"
4603,['flight call']
4604,['juvenile']
4605,['call']
4606,['call']
4607,"['alarm call', 'flight call']"
4608,"['alarm call', 'flight call']"
4609,['call']
4610,['song']
4611,['call']
4612,['call']
4613,['flight call']
4614,['call']
4615,['call']
4616,['flight call']
4617,"['begging call', 'call', 'flight call']"
4618,"['begging call', 'call', 'flight call']"
4619,['call']
4620,['flight call']
4621,['call']
4622,"['begging call', 'call', 'juvenile']"
4623,"['call', 'juvenile']"
4624,['flight call']
4625,['flight call']
4626,['flight call']
4627,['flight call']
4628,['flight call']
4629,['flight call']
4630,['call']
4631,['call']
4632,['call']
4633,['flight call']
4634,['flight call']
4635,['flight call']
4636,['flight call']
4637,"['female', 'flight call', 'male']"
